date,value
1,0.462510518559453
2,2.66025119539698
3,0.0753271701351362
4,0.42973040753248
5,0.154020854757016
6,-0.365195337081869
7,0.550905307938119
8,0.395060376426256
9,2.11785776671657
10,0.250975257486286
11,-0.657476769813526
12,1.91247429249499
13,1.44259083770854
14,-0.125097987695527
15,-1.50615970397972
16,-0.549156279714639
17,-0.363852726542528
18,-0.0329487404434112
19,-0.667900288852279
20,-0.0565780870959084
21,-0.195891042860024
22,-1.91980951318527
23,-1.69110574780883
24,-1.55012308831536
25,-1.37384295406261
26,-1.23412096424284
27,-0.938587474933536
28,-4.00732494213795
29,-1.45153653623986
30,0.242448406390738
31,-2.06122329435302
32,-0.0444194380625672
33,-0.600735514939042
34,-0.942551221351327
35,-0.683573236278455
36,-2.37407300852567
37,-0.827684305295119
38,0.934815744244022
39,-0.489437477652365
40,-0.458626386510386
41,-1.14090575577254
42,-0.339830724387268
43,0.024435321806717
44,0.321859094141291
45,-0.372808741723504
46,-0.131926120489533
47,2.23160257742081
48,-1.94933697612124
49,2.6361823235327
50,0.837563700613106
