date,value
1,1.53218903491437
2,2.81203261532889
3,-1.30779034470849
4,1.77571877801072
5,1.18479064364342
6,-0.498671301930326
7,0.309552803171711
8,1.01175507289751
9,4.16618219201823
10,3.26943702988488
11,-0.943150297080721
12,3.3439404607068
13,0.933315915763865
14,0.0414735900779975
15,0.714742903826096
16,-0.309494521567428
17,-0.332056039034071
18,1.18068061341052
19,1.00229784672468
20,0.917192413429614
21,0.0837118813156075
22,-1.8766175290439
23,-0.0259061741485557
24,0.821218294789782
25,-0.377131633472649
26,0.121147552275259
27,-0.224171382911916
28,-1.28158852551982
29,-0.700650428271615
30,-1.78728280375864
31,-0.106126263610632
32,-2.12521770770296
33,-2.01992697446319
34,-1.72304415206748
35,-3.81030956577934
36,0.629363298440151
37,-0.417954286021197
38,-1.42405892552856
39,0.782513287802755
40,-2.2115164188537
41,-0.508979089161292
42,-0.550464035982306
43,0.111295048347742
44,0.208330133369774
45,-0.864879917324457
46,0.0744771670713844
47,0.0430326716087203
48,0.936724281903674
49,1.50000231211528
50,1.6092732976144
